Date,En_Date,Max_Ex_Date,Expiry,Spot_En_Price,Atm_Strike,CE_Strike,PE_Strike,CE_Entry,PE_Entry,Entry_Straddle,CE_Exit,PE_Exit,Total_Returns,CE_Ex_Tick,PE_Ex_Tick,Ce_SL_Hit,Pe_SL_Hit,pnl,Daily_Return
27-01-2025,27-01-2025 10:30,27-01-2025 15:10,30-01-2025,22850.1,22900,22900,22900,151.85,202.7,354.55,130,175.5,0.278080455,27-01-2025 15:10,27-01-2025 15:10,FALSE,FALSE,12.51362045,12.51362045
28-01-2025,28-01-2025 10:30,28-01-2025 15:10,30-01-2025,22891.85,22900,22900,22900,161.05,155.25,316.3,289.89,102,-0.457004831,28-01-2025 14:26,28-01-2025 15:10,TRUE,FALSE,-20.56521739,-20.56521739
29-01-2025,29-01-2025 10:30,29-01-2025 15:10,30-01-2025,23087.45,23100,23100,23100,150.85,160.95,311.8,172.45,132.2,0.035438305,29-01-2025 15:10,29-01-2025 15:10,FALSE,FALSE,1.594723717,1.594723717
30-01-2025,30-01-2025 10:30,30-01-2025 15:10,30-01-2025,23303.35,23300,23300,23300,85.55,80.7,166.25,0.65,145.26,0.192402104,30-01-2025 15:10,30-01-2025 14:07,FALSE,TRUE,8.658094681,8.658094681
31-01-2025,31-01-2025 10:30,31-01-2025 15:10,06-02-2025,23392.6,23400,23400,23400,319.75,276.75,596.5,343.3,179.15,0.27901357,31-01-2025 15:10,31-01-2025 15:10,FALSE,FALSE,8.370407097,8.370407097
03-02-2025,03-02-2025 10:30,03-02-2025 15:10,06-02-2025,23280,23300,23300,23300,133.75,117.9,251.65,172.8,76.35,0.060454686,03-02-2025 15:10,03-02-2025 15:10,FALSE,FALSE,2.720460869,2.720460869
04-02-2025,04-02-2025 10:30,04-02-2025 15:10,06-02-2025,23505.2,23500,23500,23500,153,140.35,293.35,232.45,29.75,0.268748879,04-02-2025 15:10,04-02-2025 15:10,FALSE,FALSE,12.09369957,12.09369957
05-02-2025,05-02-2025 10:30,05-02-2025 15:10,06-02-2025,23770.65,23800,23800,23800,57.7,108,165.7,38.2,156,-0.106489505,05-02-2025 15:10,05-02-2025 15:10,FALSE,FALSE,-4.79202773,-4.79202773
06-02-2025,06-02-2025 10:30,06-02-2025 15:10,06-02-2025,23639.05,23600,23600,23600,51.85,30,81.85,3,2.6,1.855474124,06-02-2025 15:10,06-02-2025 15:10,FALSE,FALSE,83.49633558,83.49633558
07-02-2025,07-02-2025 10:30,07-02-2025 15:10,13-02-2025,23540.95,23500,23500,23500,209.1,130.65,339.75,193,117.7,0.176116438,07-02-2025 15:10,07-02-2025 15:10,FALSE,FALSE,7.92523971,7.92523971
10-02-2025,10-02-2025 10:30,10-02-2025 15:10,13-02-2025,23380.45,23400,23400,23400,154.6,151.2,305.8,145,128.55,0.211897318,10-02-2025 15:10,10-02-2025 15:10,FALSE,FALSE,9.53537932,9.53537932
11-02-2025,11-02-2025 10:30,11-02-2025 15:10,13-02-2025,23284.25,23300,23300,23300,120.85,119,239.85,45.9,214.2,-0.179809681,11-02-2025 15:10,11-02-2025 13:02,FALSE,TRUE,-8.091435664,-8.091435664
12-02-2025,12-02-2025 10:30,12-02-2025 15:10,13-02-2025,22858.15,22900,22900,22900,102.7,106.85,209.55,184.86,35.3,-0.130369677,12-02-2025 11:44,12-02-2025 15:10,TRUE,FALSE,-5.86663547,-5.86663547
13-02-2025,13-02-2025 10:30,13-02-2025 15:10,13-02-2025,23149.95,23100,23100,23100,101.35,36.75,138.1,0.2,66.15,0.19802664,13-02-2025 15:10,13-02-2025 13:41,FALSE,TRUE,8.911198816,8.911198816
14-02-2025,14-02-2025 10:30,14-02-2025 15:10,20-02-2025,23033.8,23000,23000,23000,213,137.5,350.5,152,247.5,-0.513615023,14-02-2025 15:10,14-02-2025 12:07,FALSE,TRUE,-23.11267606,-23.11267606
17-02-2025,17-02-2025 10:30,17-02-2025 15:10,20-02-2025,22831.8,22800,22800,22800,214.85,124.2,339.05,274.5,78.7,0.088709046,17-02-2025 15:10,17-02-2025 15:10,FALSE,FALSE,3.99190706,3.99190706
18-02-2025,18-02-2025 10:30,18-02-2025 15:10,20-02-2025,22824.95,22800,22800,22800,165.55,129.35,294.9,217.3,57.1,0.245967659,18-02-2025 15:10,18-02-2025 15:10,FALSE,FALSE,11.06854464,11.06854464
19-02-2025,19-02-2025 10:30,19-02-2025 15:10,20-02-2025,23049.1,23000,23000,23000,143.3,76.1,219.4,57.05,136.98,-0.198115841,19-02-2025 15:10,19-02-2025 14:18,FALSE,TRUE,-8.91521284,-8.91521284
20-02-2025,20-02-2025 10:30,20-02-2025 15:10,20-02-2025,22882.9,22900,22900,22900,41.8,49.15,90.95,13.25,0.5,1.672841414,20-02-2025 15:10,20-02-2025 15:10,FALSE,FALSE,75.27786363,75.27786363
21-02-2025,21-02-2025 10:30,21-02-2025 15:10,27-02-2025,22776.5,22800,22800,22800,178.55,159,337.55,161,127.15,0.29860626,21-02-2025 15:10,21-02-2025 15:10,FALSE,FALSE,13.43728172,13.43728172
24-02-2025,24-02-2025 10:30,24-02-2025 15:10,27-02-2025,22565.1,22600,22600,22600,129.05,113.1,242.15,112.8,88.6,0.342542644,24-02-2025 15:10,24-02-2025 15:10,FALSE,FALSE,15.41441898,15.41441898
25-02-2025,25-02-2025 10:30,25-02-2025 15:10,27-02-2025,22578.85,22600,22600,22600,64.95,70.05,135,50,59.3,0.383638872,25-02-2025 15:10,25-02-2025 15:10,FALSE,FALSE,17.26374925,17.26374925
27-02-2025,27-02-2025 10:30,27-02-2025 15:10,27-02-2025,22540.1,22500,22500,22500,58.35,9.85,68.2,52.15,0.2,1.085950787,27-02-2025 15:10,27-02-2025 15:10,FALSE,FALSE,48.86778542,48.86778542
28-02-2025,28-02-2025 10:30,28-02-2025 15:10,06-03-2025,22275.15,22300,22300,22300,158.6,116.7,275.3,97.15,210.06,-0.412547289,28-02-2025 15:10,28-02-2025 12:55,FALSE,TRUE,-18.56462799,-18.56462799
